=== AUDIO SALIENCY MAP EVALUATION (WAV2VEC2) ===

Mean Insertion AUC: 0.7272
Mean Deletion AUC: 0.4487
Number of audio files evaluated: 837

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
------------------------------------------------------------
100648-1-0-0	0.0078	0.4931
100648-1-1-0	0.9997	0.1457
100648-1-2-0	0.8563	0.9013
100648-1-3-0	1.0000	1.0000
100648-1-4-0	0.9527	0.0127
100795-3-0-0	0.9826	0.9490
100795-3-1-0	0.8912	0.9613
100795-3-1-1	0.9712	0.9282
100795-3-1-2	0.9584	0.9928
101382-2-0-10	0.8908	0.5445
101382-2-0-12	0.8875	0.5442
101382-2-0-20	0.9590	0.3531
101382-2-0-21	0.9677	0.2776
101382-2-0-29	0.9465	0.5371
101382-2-0-33	0.8175	0.4724
101382-2-0-42	0.8819	0.5837
101382-2-0-45	0.6785	0.4137
102103-3-0-0	0.9847	0.0742
102103-3-1-0	0.8172	0.0206
102857-5-0-0	0.9571	0.8737
102857-5-0-1	0.9790	0.8232
102857-5-0-10	0.9729	0.7326
102857-5-0-11	0.9757	0.7777
102857-5-0-12	0.9579	0.8616
102857-5-0-13	0.9763	0.9356
102857-5-0-14	0.9381	0.9458
102857-5-0-15	0.9819	0.8159
102857-5-0-16	0.9815	0.9035
102857-5-0-17	0.9825	0.9339
102857-5-0-18	0.9797	0.9040
102857-5-0-19	0.9557	0.8475
102857-5-0-2	0.9652	0.8638
102857-5-0-20	0.9729	0.8338
102857-5-0-21	0.9692	0.8489
102857-5-0-22	0.9617	0.8473
102857-5-0-23	0.9345	0.9139
102857-5-0-24	0.9678	0.9203
102857-5-0-25	0.9799	0.9025
102857-5-0-26	0.9805	0.9538
102857-5-0-27	0.9607	0.9441
102857-5-0-28	0.9775	0.8931
102857-5-0-29	0.9720	0.9628
102857-5-0-3	0.9772	0.8780
102857-5-0-30	0.9781	0.9382
102857-5-0-4	0.9727	0.9348
102857-5-0-5	0.9502	0.8833
102857-5-0-6	0.9720	0.7532
102857-5-0-7	0.9722	0.8716
102857-5-0-8	0.9642	0.7701
102857-5-0-9	0.9637	0.8570
103438-5-0-0	0.9242	0.5902
103438-5-0-1	0.9868	0.0291
103438-5-0-2	0.9797	0.0405
106014-5-0-0	0.2466	0.3044
106014-5-0-1	0.1180	0.1424
106014-5-0-2	0.1118	0.1211
106014-5-0-3	0.2337	0.1993
106014-5-0-4	0.2815	0.2602
115241-9-0-1	0.6661	0.5160
115241-9-0-14	0.8411	0.2218
115241-9-0-2	0.7568	0.5268
115241-9-0-20	0.7643	0.3965
115241-9-0-6	0.6970	0.5505
115241-9-0-8	0.7523	0.5445
115241-9-0-9	0.6627	0.4122
115418-9-0-11	0.7931	0.4438
115418-9-0-12	0.5929	0.3409
115418-9-0-15	0.6817	0.4879
115418-9-0-20	0.7747	0.5505
115418-9-0-29	0.6982	0.5666
115418-9-0-6	0.6570	0.3159
11722-3-0-0	0.9853	0.0858
11722-3-1-0	0.9755	0.0218
117889-9-0-12	0.6149	0.3680
117889-9-0-20	0.7581	0.4724
117889-9-0-30	0.7842	0.5030
117889-9-0-36	0.6671	0.4578
117889-9-0-39	0.7540	0.3348
117889-9-0-40	0.7006	0.4378
118278-4-0-0	0.0110	0.0418
118278-4-0-1	0.1749	0.1579
118278-4-0-10	0.2197	0.1758
118278-4-0-11	0.5016	0.3395
118278-4-0-12	0.4260	0.2298
118278-4-0-13	0.3716	0.1554
118278-4-0-2	0.0692	0.1306
118278-4-0-3	0.1108	0.0387
118278-4-0-4	0.2899	0.2586
118278-4-0-5	0.2933	0.1844
118278-4-0-6	0.0292	0.0272
118278-4-0-7	0.0293	0.0106
118278-4-0-8	0.0591	0.0258
118278-4-0-9	0.0714	0.0571
118558-5-0-0	0.1920	0.1914
118558-5-0-1	0.0702	0.0889
118558-5-0-2	0.0722	0.1312
118558-5-1-0	0.4137	0.2785
118558-5-1-1	0.3487	0.1462
118558-5-1-2	0.5842	0.1658
118558-5-2-0	0.3305	0.1192
118558-5-2-1	0.3708	0.1811
118558-5-2-2	0.6908	0.2237
118558-5-2-3	0.5662	0.3633
119067-0-0-0	0.9680	0.9885
119067-0-0-1	0.9783	0.9802
119067-0-0-2	0.9756	0.9879
128240-3-0-1	0.9880	0.9814
128240-3-0-20	0.9626	0.8833
128240-3-0-39	0.9886	0.9894
128240-3-0-42	0.9652	0.9889
128470-3-0-0	0.9177	0.6731
128470-3-0-1	0.9887	0.4227
128470-3-0-5	0.9692	0.3998
128470-3-0-8	0.9402	0.9619
129750-2-0-3	0.0600	0.1560
129750-2-0-34	0.1911	0.1087
129750-2-0-36	0.0575	0.0231
129750-2-0-37	0.9859	0.9799
129750-2-0-4	0.0955	0.2013
129750-2-0-45	0.3470	0.3584
129750-2-0-46	0.9286	0.4189
129750-2-0-48	0.1935	0.2437
136558-9-0-1	0.6941	0.2465
136558-9-0-2	0.8447	0.1390
136558-9-1-10	0.3389	0.2269
136558-9-1-21	0.2617	0.1210
136558-9-1-26	0.4363	0.1275
136558-9-1-39	0.3235	0.0361
138017-9-0-2	0.7851	0.6742
138017-9-0-9	0.7087	0.4877
138017-9-1-10	0.0039	0.0026
138017-9-1-16	0.4165	0.0492
138017-9-1-4	0.6800	0.5139
138017-9-1-6	0.6930	0.5559
141240-5-0-0	0.9623	0.9262
141240-5-1-0	0.9589	0.9236
142641-3-0-0	0.3296	0.0204
14468-3-0-2	0.9889	0.0247
14468-3-0-3	0.9913	0.0557
14468-3-1-0	0.9622	0.5400
14468-3-5-0	0.2913	0.0832
14470-2-0-10	0.8854	0.4245
14470-2-0-14	0.8352	0.5013
14470-2-0-21	0.9056	0.2484
14470-2-0-4	0.9666	0.7847
14470-2-0-56	0.5756	0.3201
14470-2-0-65	0.3980	0.2097
14470-2-0-70	0.9799	0.2499
14470-2-0-72	0.5972	0.4789
146244-4-0-0	0.9012	0.7818
147491-9-0-0	0.4920	0.2211
147491-9-0-5	0.7000	0.1605
147491-9-2-10	0.1117	0.0559
147491-9-2-25	0.6792	0.3102
147491-9-2-32	0.6717	0.1885
147491-9-2-6	0.5669	0.2759
155241-9-0-50	0.7933	0.3683
155241-9-0-56	0.7602	0.6210
155241-9-0-69	0.8181	0.4525
155241-9-0-79	0.6561	0.3846
155241-9-0-8	0.7938	0.4941
155241-9-0-88	0.7698	0.5596
155262-2-0-101	0.7783	0.5117
155262-2-0-11	0.1635	0.4932
155262-2-0-15	0.0686	0.1266
155262-2-0-2	0.0803	0.1783
155262-2-0-21	0.7658	0.3102
155262-2-0-48	0.1036	0.1067
155262-2-0-58	0.7519	0.0881
155262-2-0-63	0.1001	0.2150
155280-2-0-10	0.7891	0.1591
155280-2-0-11	0.6792	0.2977
155280-2-0-13	0.8264	0.4435
155280-2-0-15	0.7312	0.3746
155280-2-0-3	0.8432	0.5570
155280-2-0-5	0.6598	0.3128
155280-2-0-6	0.2859	0.0115
155280-2-0-7	0.5557	0.2767
155311-3-0-0	0.9440	0.9374
15544-5-0-0	0.9703	0.5576
15544-5-0-1	0.9674	0.3638
15544-5-0-10	0.9833	0.7443
15544-5-0-11	0.9721	0.7622
15544-5-0-12	0.9869	0.5197
15544-5-0-13	0.9504	0.6853
15544-5-0-14	0.9512	0.8072
15544-5-0-15	0.9693	0.7638
15544-5-0-16	0.9791	0.4620
15544-5-0-17	0.9633	0.4253
15544-5-0-18	0.9683	0.5513
15544-5-0-19	0.9880	0.3927
15544-5-0-2	0.9672	0.4492
15544-5-0-3	0.9749	0.7358
15544-5-0-4	0.9648	0.5483
15544-5-0-5	0.9628	0.4811
15544-5-0-6	0.9730	0.4894
15544-5-0-7	0.9844	0.6693
