=== AUDIO SALIENCY MAP EVALUATION (WAV2VEC2) ===

Mean Insertion AUC: 0.7823
Mean Deletion AUC: 0.4928
Number of audio files evaluated: 837

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
------------------------------------------------------------
100648-1-0-0	0.9219	0.0060
100648-1-1-0	0.8803	0.8615
100648-1-2-0	0.9410	0.0066
100648-1-3-0	0.9415	0.8044
100648-1-4-0	0.9113	0.0027
100795-3-0-0	0.9800	0.8096
100795-3-1-0	0.9889	0.8066
100795-3-1-1	0.9929	0.8031
100795-3-1-2	0.9889	0.9528
101382-2-0-10	0.7833	0.6085
101382-2-0-12	0.8250	0.4824
101382-2-0-20	0.9436	0.3951
101382-2-0-21	0.9083	0.3030
101382-2-0-29	0.9446	0.7748
101382-2-0-33	0.8852	0.7122
101382-2-0-42	0.8446	0.4838
101382-2-0-45	0.7730	0.5458
102103-3-0-0	0.9920	0.1713
102103-3-1-0	0.6405	0.0538
102857-5-0-0	0.9550	0.9334
102857-5-0-1	0.9456	0.9484
102857-5-0-10	0.9710	0.9396
102857-5-0-11	0.9554	0.9027
102857-5-0-12	0.9643	0.9419
102857-5-0-13	0.9468	0.9371
102857-5-0-14	0.9518	0.8002
102857-5-0-15	0.9597	0.9327
102857-5-0-16	0.9736	0.8022
102857-5-0-17	0.9649	0.8007
102857-5-0-18	0.9615	0.9496
102857-5-0-19	0.9749	0.8090
102857-5-0-2	0.9389	0.9312
102857-5-0-20	0.9428	0.8849
102857-5-0-21	0.9562	0.9257
102857-5-0-22	0.9526	0.9129
102857-5-0-23	0.9539	0.9055
102857-5-0-24	0.9609	0.9483
102857-5-0-25	0.9494	0.9079
102857-5-0-26	0.9383	0.9416
102857-5-0-27	0.9064	0.8063
102857-5-0-28	0.9521	0.9137
102857-5-0-29	0.9575	0.9083
102857-5-0-3	0.9517	0.9179
102857-5-0-30	0.9486	0.8006
102857-5-0-4	0.9569	0.8071
102857-5-0-5	0.9421	0.9388
102857-5-0-6	0.9454	0.8008
102857-5-0-7	0.9449	0.8695
102857-5-0-8	0.9378	0.8099
102857-5-0-9	0.9535	0.9230
103438-5-0-0	0.9536	0.2285
103438-5-0-1	0.9888	0.1636
103438-5-0-2	0.9889	0.0882
106014-5-0-0	0.5972	0.5088
106014-5-0-1	0.3860	0.3258
106014-5-0-2	0.5424	0.3726
106014-5-0-3	0.6540	0.5896
106014-5-0-4	0.6518	0.5574
115241-9-0-1	0.6529	0.5936
115241-9-0-14	0.7221	0.1578
115241-9-0-2	0.6888	0.3976
115241-9-0-20	0.8107	0.4657
115241-9-0-6	0.6791	0.5062
115241-9-0-8	0.5527	0.3887
115241-9-0-9	0.3301	0.1648
115418-9-0-11	0.7813	0.3389
115418-9-0-12	0.6075	0.2693
115418-9-0-15	0.7233	0.5548
115418-9-0-20	0.7382	0.5211
115418-9-0-29	0.7386	0.5128
115418-9-0-6	0.4432	0.4392
11722-3-0-0	0.9908	0.3273
11722-3-1-0	0.9933	0.0794
117889-9-0-12	0.7541	0.4440
117889-9-0-20	0.7979	0.6134
117889-9-0-30	0.7724	0.5871
117889-9-0-36	0.6817	0.4310
117889-9-0-39	0.7533	0.3071
117889-9-0-40	0.6021	0.2914
118278-4-0-0	0.0417	0.0727
118278-4-0-1	0.2030	0.2343
118278-4-0-10	0.7783	0.3406
118278-4-0-11	0.8012	0.5129
118278-4-0-12	0.7499	0.5550
118278-4-0-13	0.7085	0.4272
118278-4-0-2	0.0424	0.2341
118278-4-0-3	0.1113	0.0952
118278-4-0-4	0.4365	0.5224
118278-4-0-5	0.6391	0.4400
118278-4-0-6	0.0838	0.1201
118278-4-0-7	0.3072	0.0184
118278-4-0-8	0.2824	0.1586
118278-4-0-9	0.3963	0.1572
118558-5-0-0	0.7503	0.1788
118558-5-0-1	0.5666	0.0789
118558-5-0-2	0.2847	0.1921
118558-5-1-0	0.5686	0.3221
118558-5-1-1	0.6697	0.1888
118558-5-1-2	0.8215	0.4288
118558-5-2-0	0.2113	0.1398
118558-5-2-1	0.5719	0.2368
118558-5-2-2	0.8074	0.3594
118558-5-2-3	0.7665	0.5111
119067-0-0-0	0.9878	0.9574
119067-0-0-1	0.9887	0.8038
119067-0-0-2	0.9798	0.8054
128240-3-0-1	0.9933	0.8100
128240-3-0-20	0.9697	0.8073
128240-3-0-39	0.9773	0.8087
128240-3-0-42	0.9623	0.8034
128470-3-0-0	0.9886	0.8293
128470-3-0-1	0.9712	0.8967
128470-3-0-5	0.9933	0.6459
128470-3-0-8	0.9929	0.8078
129750-2-0-3	0.1186	0.0936
129750-2-0-34	0.8775	0.0806
129750-2-0-36	0.0381	0.0305
129750-2-0-37	0.9804	0.3611
129750-2-0-4	0.2225	0.2267
129750-2-0-45	0.7901	0.2078
129750-2-0-46	0.9827	0.0401
129750-2-0-48	0.5426	0.0518
136558-9-0-1	0.7749	0.2520
136558-9-0-2	0.7191	0.0143
136558-9-1-10	0.1690	0.2789
136558-9-1-21	0.6796	0.0362
136558-9-1-26	0.5625	0.1449
136558-9-1-39	0.2389	0.2829
138017-9-0-2	0.7998	0.6940
138017-9-0-9	0.6242	0.4841
138017-9-1-10	0.0077	0.0022
138017-9-1-16	0.3408	0.0876
138017-9-1-4	0.4767	0.3509
138017-9-1-6	0.5559	0.6162
141240-5-0-0	0.9705	0.8248
141240-5-1-0	0.9882	0.9207
142641-3-0-0	0.9716	0.0075
14468-3-0-2	0.9802	0.0229
14468-3-0-3	0.9127	0.1981
14468-3-1-0	0.9933	0.1493
14468-3-5-0	0.3899	0.0702
14470-2-0-10	0.8160	0.5044
14470-2-0-14	0.8481	0.4043
14470-2-0-21	0.8805	0.1176
14470-2-0-4	0.8609	0.3266
14470-2-0-56	0.8358	0.3055
14470-2-0-65	0.4701	0.3654
14470-2-0-70	0.9889	0.2423
14470-2-0-72	0.8806	0.4087
146244-4-0-0	0.9536	0.5269
147491-9-0-0	0.0527	0.2782
147491-9-0-5	0.0381	0.2286
147491-9-2-10	0.1213	0.1248
147491-9-2-25	0.6969	0.5266
147491-9-2-32	0.7149	0.3209
147491-9-2-6	0.1935	0.4885
155241-9-0-50	0.6509	0.4007
155241-9-0-56	0.8027	0.6879
155241-9-0-69	0.6646	0.5393
155241-9-0-79	0.6489	0.4353
155241-9-0-8	0.8142	0.4751
155241-9-0-88	0.8193	0.6287
155262-2-0-101	0.6898	0.4008
155262-2-0-11	0.7841	0.4933
155262-2-0-15	0.7084	0.2414
155262-2-0-2	0.7281	0.3927
155262-2-0-21	0.8529	0.5354
155262-2-0-48	0.3552	0.3548
155262-2-0-58	0.8481	0.4210
155262-2-0-63	0.4799	0.3768
155280-2-0-10	0.8410	0.5622
155280-2-0-11	0.7598	0.3273
155280-2-0-13	0.8655	0.4794
155280-2-0-15	0.7780	0.2475
155280-2-0-3	0.8353	0.5129
155280-2-0-5	0.9081	0.2473
155280-2-0-6	0.6366	0.0024
155280-2-0-7	0.7105	0.2437
155311-3-0-0	0.9802	0.9182
15544-5-0-0	0.9205	0.7537
15544-5-0-1	0.8961	0.4693
15544-5-0-10	0.9578	0.6765
15544-5-0-11	0.9572	0.6046
15544-5-0-12	0.9478	0.5765
15544-5-0-13	0.9370	0.6425
15544-5-0-14	0.9427	0.6898
15544-5-0-15	0.9626	0.6654
15544-5-0-16	0.9476	0.6616
15544-5-0-17	0.9771	0.5685
15544-5-0-18	0.9427	0.5672
15544-5-0-19	0.9682	0.6245
15544-5-0-2	0.9362	0.5081
15544-5-0-3	0.9567	0.6938
15544-5-0-4	0.9556	0.6272
15544-5-0-5	0.9370	0.5612
15544-5-0-6	0.9333	0.5582
15544-5-0-7	0.9528	0.5725
15544-5-0-8	0.9371	0.7211
15544-5-0-9	0.9538	0.5983
157207-6-0-0	0.9628	0.3149
157207-6-1-0	0.9810	0.4387
157207-6-10-0	0.9640	0.2514
157207-6-2-0	0.9959	0.2513
157207-6-3-0	0.9976	0.1711
157207-6-4-0	0.9885	0.1971
157207-6-5-0	0.9932	0.4002
157207-6-6-0	0.9669	0.2174
157207-6-7-0	0.9877	0.1962
157207-6-8-0	0.9751	0.1872
157207-6-9-0	0.9860	0.2226
157800-6-0-0	0.9659	0.4561
159709-6-0-0	0.9632	0.3555
159742-8-0-0	0.9720	0.9508
159742-8-0-1	0.9695	0.8097
159742-8-0-10	0.9426	0.9576
159742-8-0-11	0.9762	0.8098
159742-8-0-12	0.9688	0.9230
159742-8-0-13	0.9803	0.8944
159742-8-0-14	0.8864	0.8019
159742-8-0-2	0.9695	0.8015
159742-8-0-3	0.9745	0.9032
159742-8-0-4	0.9558	0.6293
159742-8-0-5	0.9473	0.5562
159742-8-0-6	0.9214	0.8266
159742-8-0-7	0.9762	0.7039
159742-8-0-8	0.9675	0.7286
159742-8-0-9	0.9610	0.8223
162134-7-0-0	0.9933	0.8367
162134-7-0-1	0.9975	0.8049
162134-7-0-2	0.9909	0.9451
162134-7-1-0	0.9881	0.1350
162134-7-10-0	0.9942	0.9535
162134-7-10-1	0.9939	0.8056
162134-7-10-2	0.9969	0.8091
162134-7-10-3	0.9978	0.9230
162134-7-11-0	0.9933	0.8040
162134-7-11-1	0.9871	0.8036
162134-7-11-2	0.9846	0.8026
162134-7-11-3	0.9975	0.8021
162134-7-11-4	0.9882	0.8039
162134-7-11-5	0.9933	0.9556
162134-7-11-6	0.9934	0.9576
162134-7-11-7	0.9974	0.5997
162134-7-12-0	0.9929	0.9333
162134-7-12-1	0.9933	0.8032
162134-7-12-2	0.9915	0.8004
162134-7-12-3	0.9892	0.8081
162134-7-12-4	0.9929	0.9283
162134-7-13-0	0.9978	0.8059
162134-7-13-1	0.9951	0.8097
162134-7-13-2	0.9900	0.8069
162134-7-13-3	0.9954	0.9442
162134-7-13-4	0.9933	0.8020
162134-7-14-0	0.9897	0.8824
162134-7-14-1	0.9933	0.8045
162134-7-14-2	0.9757	0.8074
162134-7-15-0	0.9911	0.8023
162134-7-15-1	0.9934	0.8070
162134-7-15-2	0.9978	0.8076
162134-7-15-3	0.9891	0.9487
162134-7-15-4	0.9978	0.7914
162134-7-16-0	0.9871	0.9216
162134-7-16-1	0.9977	0.8967
162134-7-17-0	0.9977	0.9275
162134-7-17-1	0.9935	0.8053
162134-7-17-2	0.9978	0.8082
162134-7-17-3	0.9977	0.9349
162134-7-17-4	0.9951	0.9554
162134-7-2-0	0.9933	0.2166
162134-7-3-0	0.9960	0.9171
162134-7-4-0	0.9888	0.4609
162134-7-5-0	0.9857	0.0702
162134-7-6-0	0.9978	0.0674
162134-7-7-0	0.9949	0.5029
162134-7-7-1	0.9932	0.7392
162134-7-8-0	0.9948	0.9430
162134-7-8-1	0.9906	0.8018
162134-7-8-2	0.9914	0.9454
162134-7-8-3	0.9909	0.8024
162134-7-8-4	0.9726	0.9518
162134-7-8-5	0.9930	0.8041
162134-7-8-6	0.9889	0.9350
162134-7-8-7	0.9769	0.8062
162134-7-9-0	0.9977	0.8095
162134-7-9-1	0.9933	0.8009
162134-7-9-2	0.9977	0.9445
162134-7-9-3	0.9964	0.9530
162134-7-9-4	0.9977	0.9419
162148-3-0-0	0.9845	0.1264
163459-3-0-0	0.9933	0.3925
164194-2-0-10	0.0326	0.1911
164194-2-0-11	0.8548	0.5806
164194-2-0-14	0.9249	0.5595
164194-2-0-18	0.8045	0.3519
164194-2-0-24	0.7203	0.3355
164194-2-0-26	0.8003	0.4301
164194-2-0-29	0.8286	0.4678
164194-2-0-7	0.7107	0.0301
164377-9-0-16	0.7703	0.5491
164377-9-1-15	0.8399	0.4960
164377-9-1-3	0.7858	0.6654
164377-9-1-36	0.8085	0.6278
164377-9-1-43	0.7638	0.6631
164377-9-1-50	0.3298	0.4924
164377-9-1-92	0.7240	0.5631
164646-6-0-0	0.9806	0.1472
165166-8-0-0	0.9607	0.8830
165166-8-0-1	0.9440	0.7209
165166-8-0-2	0.9430	0.3071
165166-8-0-3	0.9228	0.3924
165166-8-0-4	0.9660	0.7090
165166-8-0-5	0.9634	0.6777
165166-8-0-6	0.9800	0.7638
165166-8-0-7	0.9770	0.5157
165166-8-0-8	0.8525	0.4041
165640-4-0-0	0.9299	0.5075
165640-4-0-1	0.9097	0.5590
165640-4-0-2	0.8083	0.8933
167464-0-0-0	0.0162	0.0136
167464-0-0-1	0.9474	0.5393
167464-0-0-10	0.9741	0.8037
167464-0-0-11	0.9330	0.7989
167464-0-0-12	0.9391	0.6679
167464-0-0-13	0.9202	0.6825
167464-0-0-14	0.0191	0.0073
167464-0-0-15	0.9444	0.7388
167464-0-0-16	0.9125	0.5736
167464-0-0-17	0.9408	0.5283
167464-0-0-18	0.9400	0.8241
167464-0-0-19	0.8947	0.5358
167464-0-0-2	0.9323	0.4438
167464-0-0-20	0.9630	0.5761
167464-0-0-21	0.9721	0.5118
167464-0-0-22	0.8433	0.5504
167464-0-0-23	0.9374	0.2865
167464-0-0-24	0.9251	0.3907
167464-0-0-3	0.9406	0.7462
167464-0-0-4	0.9584	0.6610
167464-0-0-5	0.8880	0.5911
167464-0-0-6	0.9017	0.3897
167464-0-0-7	0.9152	0.3932
167464-0-0-8	0.9519	0.7088
167464-0-0-9	0.8772	0.4517
167750-4-0-0	0.9131	0.4319
167750-4-1-0	0.0376	0.0561
167750-4-2-0	0.9560	0.0763
167750-4-3-0	0.9504	0.1174
169261-6-0-0	0.9778	0.2879
17074-1-0-0	0.8409	0.1398
17124-1-0-0	0.9880	0.8043
171478-9-0-26	0.1183	0.1360
171478-9-0-28	0.2041	0.0608
171478-9-0-38	0.5119	0.2954
171478-9-0-4	0.7471	0.1475
171478-9-0-55	0.0661	0.0048
171478-9-0-57	0.7369	0.1788
171478-9-0-58	0.6839	0.1473
172519-9-0-10	0.0324	0.0974
172519-9-0-13	0.3640	0.4795
172519-9-0-49	0.6597	0.4787
172519-9-0-53	0.7819	0.4622
172519-9-0-67	0.7141	0.4117
172519-9-0-8	0.6818	0.4747
174289-6-0-0	0.9520	0.2268
174289-6-1-0	0.9629	0.3396
174289-6-2-0	0.9759	0.2239
174289-6-3-0	0.9660	0.1873
174292-6-0-0	0.9806	0.4586
174292-6-1-0	0.9940	0.3663
