=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6696
Mean Deletion AUC: 0.1174
Number of images evaluated: 4912

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
ILSVRC2012_val_00000906	0.8175	0.1050
ILSVRC2012_val_00001347	0.6719	0.0534
ILSVRC2012_val_00002020	0.7410	0.1955
ILSVRC2012_val_00002497	0.7287	0.0472
ILSVRC2012_val_00005523	0.6411	0.0472
ILSVRC2012_val_00006236	0.5525	0.1452
ILSVRC2012_val_00008985	0.7788	0.1264
ILSVRC2012_val_00009041	0.3731	0.0031
ILSVRC2012_val_00010850	0.3432	0.0216
ILSVRC2012_val_00012265	0.4266	0.0501
ILSVRC2012_val_00013039	0.1226	0.0073
ILSVRC2012_val_00014554	0.6707	0.1468
ILSVRC2012_val_00015589	0.7684	0.1128
ILSVRC2012_val_00015695	0.5611	0.1827
ILSVRC2012_val_00016535	0.2019	0.0038
ILSVRC2012_val_00016726	0.6988	0.1288
ILSVRC2012_val_00017815	0.2822	0.0069
ILSVRC2012_val_00018268	0.7730	0.2582
ILSVRC2012_val_00020328	0.2958	0.0226
ILSVRC2012_val_00021268	0.7836	0.2018
ILSVRC2012_val_00022447	0.2957	0.0116
ILSVRC2012_val_00023018	0.5237	0.2572
ILSVRC2012_val_00024998	0.0823	0.0715
ILSVRC2012_val_00025125	0.4868	0.0511
ILSVRC2012_val_00026464	0.7786	0.1832
ILSVRC2012_val_00027176	0.8604	0.1157
ILSVRC2012_val_00028567	0.6736	0.0130
ILSVRC2012_val_00030536	0.6757	0.0541
ILSVRC2012_val_00031092	0.2452	0.0413
ILSVRC2012_val_00033052	0.6353	0.0799
ILSVRC2012_val_00033262	0.4053	0.0076
ILSVRC2012_val_00033752	0.9445	0.1114
ILSVRC2012_val_00034968	0.2436	0.0307
ILSVRC2012_val_00035326	0.6378	0.0513
ILSVRC2012_val_00035857	0.9303	0.2716
ILSVRC2012_val_00036133	0.1533	0.0046
ILSVRC2012_val_00036768	0.8815	0.1999
ILSVRC2012_val_00037513	0.7248	0.0064
ILSVRC2012_val_00038441	0.8380	0.1445
ILSVRC2012_val_00038967	0.2503	0.0656
ILSVRC2012_val_00040107	0.0550	0.0106
ILSVRC2012_val_00041433	0.3251	0.2661
ILSVRC2012_val_00044375	0.9200	0.2896
ILSVRC2012_val_00045399	0.5906	0.0175
