=== LIME SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6708
Mean Deletion AUC: 0.1282
Number of images evaluated: 4912

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
ILSVRC2012_val_00000906	0.7953	0.1561
ILSVRC2012_val_00001347	0.5137	0.0659
ILSVRC2012_val_00002020	0.7131	0.1200
ILSVRC2012_val_00002497	0.7314	0.0201
ILSVRC2012_val_00005523	0.4369	0.0512
ILSVRC2012_val_00006236	0.6917	0.1822
ILSVRC2012_val_00008985	0.7768	0.1181
ILSVRC2012_val_00009041	0.6469	0.0094
ILSVRC2012_val_00010850	0.5954	0.0691
ILSVRC2012_val_00012265	0.1607	0.1112
ILSVRC2012_val_00013039	0.1161	0.0173
ILSVRC2012_val_00014554	0.5926	0.0726
ILSVRC2012_val_00015589	0.4194	0.2285
ILSVRC2012_val_00015695	0.3605	0.2206
ILSVRC2012_val_00016535	0.1508	0.0040
ILSVRC2012_val_00016726	0.7237	0.0518
ILSVRC2012_val_00017815	0.7136	0.0083
ILSVRC2012_val_00018268	0.7962	0.2039
ILSVRC2012_val_00020328	0.3753	0.0162
ILSVRC2012_val_00021268	0.8502	0.2308
ILSVRC2012_val_00022447	0.5689	0.0040
ILSVRC2012_val_00023018	0.6379	0.2157
ILSVRC2012_val_00024998	0.1035	0.0102
ILSVRC2012_val_00025125	0.6287	0.0719
ILSVRC2012_val_00026464	0.7522	0.2604
ILSVRC2012_val_00027176	0.6165	0.0520
ILSVRC2012_val_00028567	0.3512	0.0121
ILSVRC2012_val_00030536	0.5458	0.0438
ILSVRC2012_val_00031092	0.0965	0.0748
ILSVRC2012_val_00033052	0.6851	0.0613
ILSVRC2012_val_00033262	0.4626	0.0170
ILSVRC2012_val_00033752	0.9205	0.0576
ILSVRC2012_val_00034968	0.2789	0.0388
ILSVRC2012_val_00035326	0.7270	0.0229
ILSVRC2012_val_00035857	0.9044	0.2880
ILSVRC2012_val_00036133	0.0271	0.0264
ILSVRC2012_val_00036768	0.8529	0.1936
ILSVRC2012_val_00037513	0.8001	0.0067
ILSVRC2012_val_00038441	0.7745	0.2037
ILSVRC2012_val_00038967	0.1107	0.0070
ILSVRC2012_val_00040107	0.0742	0.0379
ILSVRC2012_val_00041433	0.6649	0.1908
ILSVRC2012_val_00044375	0.8643	0.2141
ILSVRC2012_val_00045399	0.5649	0.0052
ILSVRC2012_val_00046474	0.8247	0.0893
ILSVRC2012_val_00047868	0.5067	0.1138
ILSVRC2012_val_00048057	0.3918	0.1298
ILSVRC2012_val_00048571	0.0413	0.0091
ILSVRC2012_val_00049514	0.3496	0.0012
ILSVRC2012_val_00049649	0.6144	0.0642
ILSVRC2012_val_00000298	0.8638	0.0421
ILSVRC2012_val_00001185	0.9970	0.3618
ILSVRC2012_val_00001578	0.7929	0.1155
ILSVRC2012_val_00003785	0.8543	0.2960
ILSVRC2012_val_00005617	0.9909	0.0247
ILSVRC2012_val_00006403	0.1768	0.0270
ILSVRC2012_val_00007877	0.9155	0.1893
ILSVRC2012_val_00007937	0.3492	0.1249
ILSVRC2012_val_00008788	0.0564	0.0441
ILSVRC2012_val_00008810	0.8516	0.0294
ILSVRC2012_val_00008829	0.7006	0.1211
ILSVRC2012_val_00009059	0.4596	0.0602
ILSVRC2012_val_00011428	0.9428	0.0820
ILSVRC2012_val_00012768	0.2671	0.0232
ILSVRC2012_val_00014252	0.0581	0.0187
ILSVRC2012_val_00014575	0.1908	0.2301
ILSVRC2012_val_00014769	0.1410	0.0222
ILSVRC2012_val_00015686	0.9104	0.0156
ILSVRC2012_val_00015698	0.8291	0.2361
ILSVRC2012_val_00016564	0.4690	0.1708
ILSVRC2012_val_00018314	0.2306	0.0186
ILSVRC2012_val_00021076	0.6450	0.1187
ILSVRC2012_val_00021593	0.7467	0.0184
ILSVRC2012_val_00022436	0.3798	0.0852
ILSVRC2012_val_00024472	0.8677	0.1777
ILSVRC2012_val_00025938	0.3989	0.0282
ILSVRC2012_val_00026739	0.0180	0.0289
ILSVRC2012_val_00028197	0.6385	0.0304
ILSVRC2012_val_00029525	0.8085	0.0288
ILSVRC2012_val_00030360	0.7595	0.0513
ILSVRC2012_val_00032220	0.9281	0.0623
ILSVRC2012_val_00036392	0.9279	0.0911
ILSVRC2012_val_00037794	0.5235	0.0631
ILSVRC2012_val_00038890	0.9850	0.0738
ILSVRC2012_val_00039651	0.5356	0.0872
ILSVRC2012_val_00039780	0.6729	0.2738
ILSVRC2012_val_00040948	0.7598	0.0024
ILSVRC2012_val_00041931	0.3549	0.0231
ILSVRC2012_val_00042162	0.5878	0.0346
ILSVRC2012_val_00042383	0.5520	0.0450
ILSVRC2012_val_00043850	0.8354	0.0310
ILSVRC2012_val_00044333	0.8923	0.0904
ILSVRC2012_val_00044459	0.4804	0.0707
ILSVRC2012_val_00044577	0.8559	0.1340
ILSVRC2012_val_00045594	0.6112	0.0332
ILSVRC2012_val_00046039	0.8689	0.0056
ILSVRC2012_val_00046224	0.5899	0.0661
ILSVRC2012_val_00046847	0.5275	0.0604
ILSVRC2012_val_00049182	0.5099	0.0098
ILSVRC2012_val_00049542	0.2013	0.0254
ILSVRC2012_val_00001254	0.6825	0.1998
ILSVRC2012_val_00001458	0.9529	0.3070
ILSVRC2012_val_00001928	0.1253	0.0147
ILSVRC2012_val_00002477	0.7617	0.2056
ILSVRC2012_val_00003187	0.6238	0.1219
ILSVRC2012_val_00003426	0.4941	0.1411
ILSVRC2012_val_00003438	0.7954	0.0385
ILSVRC2012_val_00003445	0.9570	0.1508
ILSVRC2012_val_00003539	0.0993	0.0017
ILSVRC2012_val_00004617	0.9991	0.2234
ILSVRC2012_val_00005090	0.9905	0.2667
ILSVRC2012_val_00007010	0.9184	0.4685
ILSVRC2012_val_00007456	0.4473	0.0451
ILSVRC2012_val_00008074	0.4264	0.0418
ILSVRC2012_val_00008092	0.9452	0.0886
ILSVRC2012_val_00009359	0.2807	0.0072
ILSVRC2012_val_00009560	0.7716	0.2731
ILSVRC2012_val_00011256	0.0417	0.0159
ILSVRC2012_val_00012723	0.9177	0.0111
ILSVRC2012_val_00014947	0.1017	0.0009
ILSVRC2012_val_00017303	0.2001	0.0675
ILSVRC2012_val_00017574	0.7064	0.1302
ILSVRC2012_val_00018175	0.7237	0.0155
ILSVRC2012_val_00018242	0.2980	0.0977
ILSVRC2012_val_00024011	0.4078	0.0773
ILSVRC2012_val_00024488	0.3022	0.0308
ILSVRC2012_val_00025546	0.9893	0.2335
ILSVRC2012_val_00028883	0.7464	0.0166
ILSVRC2012_val_00028982	0.7747	0.2361
ILSVRC2012_val_00031294	0.9628	0.4046
ILSVRC2012_val_00031939	0.4950	0.0070
ILSVRC2012_val_00032374	0.7853	0.0596
ILSVRC2012_val_00032874	0.6232	0.1253
ILSVRC2012_val_00033951	0.9951	0.3616
ILSVRC2012_val_00035849	0.9491	0.1952
ILSVRC2012_val_00038601	0.9886	0.1590
ILSVRC2012_val_00039225	0.2949	0.0066
ILSVRC2012_val_00039767	0.2939	0.0639
ILSVRC2012_val_00040289	0.3556	0.0107
ILSVRC2012_val_00040839	0.8150	0.0207
ILSVRC2012_val_00041180	0.6391	0.1682
ILSVRC2012_val_00044270	0.7658	0.0482
ILSVRC2012_val_00044914	0.9959	0.2404
ILSVRC2012_val_00045431	0.5850	0.0149
ILSVRC2012_val_00046873	0.6913	0.1194
ILSVRC2012_val_00047281	0.8713	0.0107
ILSVRC2012_val_00047372	0.5591	0.0202
ILSVRC2012_val_00048817	0.5232	0.0292
ILSVRC2012_val_00049462	0.8931	0.0584
ILSVRC2012_val_00000134	0.3989	0.0018
ILSVRC2012_val_00001858	0.7953	0.3162
ILSVRC2012_val_00003683	0.7503	0.2729
ILSVRC2012_val_00006586	0.8591	0.3286
ILSVRC2012_val_00006675	0.9427	0.0387
ILSVRC2012_val_00008177	0.8235	0.0901
ILSVRC2012_val_00008343	0.2660	0.0100
ILSVRC2012_val_00009004	0.3398	0.0069
ILSVRC2012_val_00013033	0.9179	0.0366
ILSVRC2012_val_00013297	0.3197	0.0083
ILSVRC2012_val_00014378	0.9605	0.1543
